id,B,G,R,class
10932,110,116,169,1
10933,110,116,169,1
10934,111,117,170,1
10935,113,119,172,1
10936,115,121,174,1
10937,117,123,176,1
10938,118,124,177,1
10939,121,124,179,1
10940,121,124,179,1
10941,121,124,179,1
10942,120,123,178,1
10943,120,123,178,1
10944,121,124,179,1
10945,121,124,179,1
10946,121,124,179,1
10947,123,126,181,1
10948,125,128,183,1
10949,126,129,184,1
10950,126,129,184,1
10951,126,129,184,1
10952,126,129,184,1
10953,127,130,185,1
10954,130,131,187,1
10955,132,132,186,1
10956,134,131,186,1
10957,134,131,186,1
10958,135,132,187,1
10959,135,135,189,1
10960,137,137,191,1
10961,136,138,192,1
10962,137,139,193,1
10963,137,141,194,1
10964,136,140,193,1
10965,136,140,193,1
10966,133,139,192,1
10967,132,138,191,1
10968,131,137,190,1
10969,130,136,189,1
10970,120,136,189,1
10971,120,149,206,1
10972,112,150,208,1
10973,113,150,208,1
10974,113,151,209,1
10975,116,153,209,1
10976,118,157,212,1
10977,122,159,215,1
10978,122,161,216,1
10979,123,161,215,1
10980,120,160,213,1
10981,119,158,210,1
10982,118,158,210,1
10983,120,159,211,1
10984,120,160,212,1
10985,120,159,211,1
10986,119,158,210,1
10987,121,160,212,1
10988,122,161,213,1
10989,123,162,214,1
10990,127,166,218,1
10991,130,169,221,1
10992,131,170,222,1
10993,130,169,221,1
10994,128,167,219,1
10995,126,165,217,1
10996,125,164,216,1
10997,128,167,219,1
10998,133,172,224,1
10999,133,172,224,1
11000,128,167,219,1
11001,125,164,216,1
11002,126,165,217,1
11003,123,164,213,1
11004,122,163,212,1
11005,122,163,212,1
11006,123,164,213,1
11007,126,167,216,1
11008,129,170,219,1
11009,131,172,221,1
11010,133,174,223,1
11011,132,173,222,1
11012,131,172,221,1
11013,130,171,220,1
11014,132,173,222,1
11015,136,177,226,1
11016,138,179,228,1
11017,137,178,227,1
11018,135,176,225,1
11019,128,168,216,1
11020,134,174,222,1
11021,140,180,228,1
11022,139,179,227,1
11023,134,174,222,1
11024,133,171,219,1
11025,135,174,219,1
11026,137,176,221,1
11027,142,179,223,1
11028,140,177,221,1
11029,138,175,219,1
11030,138,173,217,1
11031,138,173,216,1
11032,139,174,217,1
11033,140,175,218,1
11034,140,175,219,1
11035,145,178,227,1
11036,145,178,228,1
11037,145,178,228,1
11038,148,181,231,1
11039,151,184,234,1
11040,61,107,171,1
11041,60,106,170,1
11042,59,107,171,1
11043,61,109,173,1
11044,63,111,175,1
11045,64,112,176,1
11046,59,110,173,1
11047,57,108,171,1
11048,54,105,168,1
11049,54,105,168,1
11050,52,105,168,1
11051,52,105,168,1
11052,52,105,168,1
11053,53,106,169,1
11054,53,107,170,1
11055,54,109,170,1
11056,53,105,165,1
11057,53,106,163,1
11058,54,106,166,1
11059,54,106,166,1
11060,53,105,165,1
11061,51,103,163,1
11062,49,100,162,1
11063,47,98,160,1
11064,56,107,169,1
11065,53,104,166,1
11066,48,99,162,1
11067,45,96,159,1
11068,45,96,159,1
11069,45,96,159,1
11070,44,95,158,1
11071,43,94,157,1
11072,40,91,153,1
11073,37,88,150,1
11074,37,89,149,1
11075,41,93,153,1
11076,42,95,152,1
11077,41,94,151,1
11078,42,96,151,1
11079,46,100,155,1
11080,46,100,153,1
11081,49,103,156,1
11082,49,104,155,1
11083,46,101,152,1
11084,46,102,151,1
11085,49,105,154,1
11086,49,105,152,1
11087,46,102,149,1
11088,50,102,148,1
11089,49,104,149,1
11090,51,106,151,1
11091,50,107,152,1
11092,50,107,152,1
11093,53,105,151,1
11094,56,102,149,1
11095,64,100,148,1
11096,71,96,146,1
11097,78,95,146,1
11098,86,94,147,1
11099,88,94,147,1
11100,91,95,148,1
11101,90,96,149,1
11102,91,97,150,1
11103,89,97,150,1
11104,96,102,155,1
11105,98,104,157,1
11106,101,107,160,1
11107,104,110,163,1
11108,106,112,165,1
11109,107,113,166,1
11110,107,113,166,1
11111,107,113,166,1
11112,109,115,168,1
11113,109,115,168,1
11114,110,116,169,1
11115,111,117,170,1
11116,112,118,171,1
11117,114,120,173,1
11118,116,122,175,1
11119,117,123,176,1
11120,121,124,179,1
11121,121,124,179,1
11122,120,123,178,1
11123,120,123,178,1
11124,120,123,178,1
11125,120,123,178,1
11126,121,124,179,1
11127,121,124,179,1
11128,122,125,180,1
11129,123,126,181,1
11130,126,129,184,1
11131,126,129,184,1
11132,126,129,184,1
11133,126,129,184,1
11134,129,132,187,1
11135,131,132,188,1
11136,133,133,187,1
11137,133,130,185,1
11138,132,129,184,1
11139,133,130,185,1
11140,134,134,188,1
11141,136,136,190,1
11142,134,136,190,1
11143,134,136,190,1
11144,135,139,192,1
11145,135,139,192,1
11146,132,138,191,1
11147,132,138,191,1
11148,131,137,190,1
11149,130,136,189,1
11150,128,136,189,1
11151,121,137,190,1
11152,118,148,205,1
11153,112,150,208,1
11154,113,151,209,1
11155,116,154,212,1
11156,118,157,212,1
11157,120,159,214,1
11158,121,160,215,1
11159,122,161,216,1
11160,121,161,214,1
11161,119,159,212,1
11162,117,157,209,1
11163,117,157,209,1
11164,118,158,210,1
11165,119,159,211,1
11166,118,158,210,1
11167,117,157,209,1
11168,120,159,211,1
11169,120,159,211,1
11170,121,160,212,1
11171,125,164,216,1
11172,128,167,219,1
11173,131,170,222,1
11174,131,170,222,1
11175,130,169,221,1
11176,125,164,216,1
11177,124,163,215,1
11178,127,166,218,1
11179,132,171,223,1
11180,132,171,223,1
11181,128,167,219,1
11182,126,165,217,1
11183,127,166,218,1
11184,125,166,215,1
11185,123,164,213,1
11186,120,161,210,1
11187,121,162,211,1
11188,123,164,213,1
11189,127,168,217,1
11190,129,170,219,1
11191,129,170,219,1
11192,130,171,220,1
11193,128,169,218,1
11194,127,168,217,1
11195,131,172,221,1
11196,136,177,226,1
11197,139,180,229,1
11198,139,180,229,1
11199,137,178,227,1
11200,132,172,220,1
11201,140,180,228,1
11202,144,184,232,1
11203,143,181,229,1
11204,137,175,223,1
11205,135,173,221,1
11206,138,174,220,1
11207,138,174,220,1
11208,139,176,220,1
11209,137,174,218,1
11210,136,171,215,1
11211,136,171,215,1
11212,138,173,216,1
11213,140,175,218,1
11214,142,177,220,1
11215,142,177,221,1
11216,143,176,225,1
11217,144,177,227,1
11218,146,179,229,1
11219,148,181,231,1
11220,150,183,233,1
11221,61,107,171,1
11222,61,107,171,1
11223,59,107,171,1
11224,61,109,173,1
11225,64,112,176,1
11226,64,112,176,1
11227,58,109,172,1
11228,55,106,169,1
11229,53,104,167,1
11230,56,107,170,1
11231,56,109,172,1
11232,55,108,171,1
11233,51,104,167,1
11234,51,104,167,1
11235,53,107,170,1
11236,57,112,173,1
11237,55,107,167,1
11238,52,105,162,1
11239,49,101,161,1
11240,49,101,161,1
11241,51,103,163,1
11242,52,104,164,1
11243,51,102,164,1
11244,48,99,161,1
11245,55,106,168,1
11246,53,104,166,1
11247,51,102,165,1
11248,51,102,165,1
11249,52,103,166,1
11250,51,102,165,1
11251,48,99,162,1
11252,45,96,159,1
11253,46,97,159,1
11254,42,93,155,1
11255,42,94,154,1
11256,45,97,157,1
11257,45,98,155,1
11258,43,96,153,1
11259,44,98,153,1
11260,48,102,157,1
11261,47,101,154,1
11262,50,104,157,1
11263,50,105,156,1
11264,47,102,153,1
11265,47,103,152,1
11266,50,106,155,1
11267,50,106,153,1
11268,47,103,150,1
11269,50,102,148,1
11270,49,104,149,1
11271,51,106,151,1
11272,50,107,152,1
11273,50,107,152,1
11274,53,105,151,1
11275,56,102,149,1
11276,64,100,148,1
11277,72,97,147,1
11278,79,96,147,1
11279,86,94,147,1
11280,89,95,148,1
11281,92,96,149,1
11282,91,97,150,1
11283,92,98,151,1
11284,90,98,151,1
11285,96,102,155,1
11286,98,104,157,1
11287,101,107,160,1
11288,104,110,163,1
11289,106,112,165,1
11290,107,113,166,1
11291,107,113,166,1
11292,106,112,165,1
11293,109,115,168,1
11294,109,115,168,1
11295,109,115,168,1
11296,110,116,169,1
11297,112,118,171,1
11298,114,120,173,1
11299,116,122,175,1
11300,117,123,176,1
11301,121,124,179,1
11302,121,124,179,1
11303,120,123,178,1
11304,119,122,177,1
11305,119,122,177,1
11306,120,123,178,1
11307,121,124,179,1
11308,121,124,179,1
11309,120,123,178,1
11310,122,125,180,1
11311,125,128,183,1
11312,126,129,184,1
11313,126,129,184,1
11314,127,130,185,1
11315,130,133,188,1
11316,133,134,190,1
11317,133,133,187,1
11318,132,129,184,1
11319,131,128,183,1
11320,131,128,183,1
11321,132,132,186,1
11322,134,134,188,1
11323,132,134,188,1
11324,130,132,186,1
11325,132,136,189,1
11326,132,136,189,1
11327,130,136,189,1
11328,130,136,189,1
11329,128,136,189,1
11330,127,135,188,1
11331,127,135,188,1
11332,120,136,189,1
11333,117,150,206,1
11334,112,152,210,1
11335,114,154,212,1
11336,117,157,215,1
11337,118,159,214,1
11338,118,159,214,1
11339,117,158,213,1
11340,117,158,213,1
11341,117,159,212,1
11342,116,158,211,1
11343,114,157,208,1
11344,114,157,208,1
11345,116,159,210,1
11346,117,160,211,1
11347,117,160,211,1
11348,118,158,210,1
11349,121,160,212,1
11350,120,159,211,1
11351,120,159,211,1
11352,122,161,213,1
11353,127,166,218,1
11354,130,169,221,1
11355,131,170,222,1
11356,131,170,222,1
11357,128,167,219,1
11358,126,165,217,1
11359,128,167,219,1
11360,132,171,223,1
11361,132,171,223,1
11362,127,166,218,1
11363,125,164,216,1
11364,127,166,218,1
11365,126,167,216,1
11366,120,163,212,1
11367,117,160,209,1
11368,116,159,208,1
11369,120,163,212,1
11370,124,167,216,1
11371,126,169,218,1
11372,126,169,218,1
11373,130,173,222,1
11374,127,170,219,1
11375,126,169,218,1
11376,129,172,221,1
11377,135,178,227,1
11378,138,181,230,1
11379,137,180,229,1
11380,136,177,226,1
11381,132,172,220,1
11382,143,181,229,1
11383,148,186,234,1
11384,145,181,229,1
11385,139,175,221,1
11386,139,175,221,1
11387,142,176,222,1
11388,141,175,221,1
11389,140,175,219,1
11390,137,172,216,1
11391,135,168,213,1
11392,136,169,214,1
11393,140,174,217,1
11394,143,177,220,1
11395,144,178,221,1
11396,143,176,221,1
11397,140,173,223,1
11398,142,174,227,1
11399,144,176,229,1
11400,146,178,231,1
11401,147,179,232,1
11402,60,108,172,1
11403,59,107,171,1
11404,59,107,171,1
11405,61,109,173,1
11406,64,112,176,1
11407,63,111,175,1
11408,57,108,171,1
11409,53,104,167,1
11410,52,103,166,1
11411,58,109,172,1
11412,61,112,175,1
11413,59,110,173,1
11414,54,105,168,1
11415,52,103,166,1
11416,55,108,171,1
11417,61,115,176,1
11418,58,110,170,1
11419,53,103,163,1
11420,47,97,157,1
11421,46,96,156,1
11422,51,100,162,1
11423,52,103,165,1
11424,54,103,165,1
11425,50,101,163,1
11426,46,97,159,1
11427,46,97,159,1
11428,48,99,161,1
11429,51,102,164,1
11430,54,105,168,1
11431,52,103,165,1
11432,46,97,159,1
11433,40,91,153,1
11434,48,100,160,1
11435,44,97,154,1
11436,45,95,153,1
11437,46,99,156,1
11438,48,99,155,1
11439,44,98,153,1
11440,46,98,151,1
11441,48,102,155,1
11442,51,103,156,1
11443,52,107,158,1
11444,54,107,158,1
11445,49,104,155,1
11446,50,103,153,1
11447,51,107,156,1
11448,53,107,154,1
11449,50,104,151,1
11450,50,102,148,1
11451,51,103,149,1
11452,51,106,151,1
11453,50,107,152,1
11454,50,107,152,1
11455,53,105,151,1
11456,58,102,149,1
11457,64,100,148,1
11458,76,99,149,1
11459,83,97,149,1
11460,88,96,149,1
11461,92,96,147,1
11462,93,97,150,1
11463,94,98,149,1
11464,93,100,150,1
11465,92,101,151,1
11466,97,103,156,1
11467,98,104,157,1
11468,101,107,160,1
11469,104,110,163,1
11470,106,112,165,1
11471,106,112,165,1
11472,106,112,165,1
11473,106,112,165,1
11474,109,115,168,1
11475,109,115,168,1
11476,109,115,168,1
11477,110,116,169,1
11478,112,118,171,1
11479,114,120,173,1
11480,116,122,175,1
11481,117,123,176,1
11482,122,125,180,1
11483,121,124,179,1
11484,119,122,177,1
11485,118,121,176,1
11486,118,121,176,1
11487,119,122,177,1
11488,121,124,179,1
11489,122,125,180,1
11490,119,122,177,1
11491,121,124,179,1
11492,124,127,182,1
11493,126,129,184,1
11494,126,129,184,1
11495,128,131,186,1
11496,131,134,189,1
11497,134,135,191,1
11498,133,133,187,1
11499,130,130,184,1
11500,130,127,182,1
11501,129,129,183,1
11502,131,131,185,1
11503,133,133,187,1
11504,130,132,186,1
11505,128,130,184,1
11506,129,133,186,1
11507,129,133,186,1
11508,130,134,187,1
11509,128,134,187,1
11510,128,134,187,1
11511,128,134,187,1
11512,128,134,187,1
11513,119,135,188,1
11514,119,153,207,1
11515,114,155,210,1
11516,117,157,215,1
11517,119,160,215,1
11518,120,161,216,1
11519,118,159,214,1
11520,116,157,212,1
11521,114,155,210,1
11522,117,159,212,1
11523,115,157,210,1
11524,114,157,208,1
11525,114,157,208,1
11526,116,159,210,1
11527,116,161,212,1
11528,118,161,212,1
11529,117,160,211,1
11530,120,160,212,1
11531,119,158,210,1
11532,119,158,210,1
11533,121,160,212,1
11534,125,164,216,1
11535,130,169,221,1
11536,132,171,223,1
11537,133,172,224,1
11538,132,171,223,1
11539,129,168,220,1
11540,130,169,221,1
11541,133,172,224,1
11542,131,170,222,1
11543,126,165,217,1
11544,124,163,215,1
11545,126,165,217,1
11546,126,166,218,1
11547,119,162,213,1
11548,115,158,207,1
11549,115,158,207,1
11550,119,162,211,1
11551,123,166,215,1
11552,126,170,217,1
11553,126,170,217,1
11554,133,177,224,1
11555,129,173,220,1
11556,127,170,219,1
11557,130,173,222,1
11558,136,179,228,1
11559,139,182,231,1
11560,137,180,231,1
11561,135,176,225,1
11562,129,169,218,1
11563,140,180,228,1
11564,147,185,233,1
11565,142,180,228,1
11566,137,175,223,1
11567,140,176,222,1
11568,141,177,223,1
11569,142,176,222,1
11570,140,174,220,1
11571,137,172,216,1
11572,135,168,213,1
11573,137,170,215,1
11574,140,173,218,1
11575,143,177,220,1
11576,145,177,220,1
11577,142,175,220,1
11578,138,171,220,1
11579,138,173,223,1
11580,143,175,228,1
11581,142,177,227,1
11582,145,177,230,1
11583,51,102,164,1
11584,53,104,166,1
11585,55,106,168,1
11586,58,109,171,1
11587,59,110,172,1
11588,60,111,173,1
11589,60,111,173,1
11590,60,111,173,1
11591,61,110,172,1
11592,63,112,174,1
11593,64,113,175,1
11594,62,111,173,1
11595,58,107,169,1
11596,56,105,167,1
11597,57,106,168,1
11598,59,108,170,1
11599,58,105,167,1
11600,53,100,162,1
11601,49,96,158,1
11602,50,97,159,1
11603,55,101,165,1
11604,56,105,167,1
11605,56,103,165,1
11606,51,100,162,1
11607,47,96,158,1
11608,48,97,159,1
11609,50,99,161,1
11610,51,101,161,1
11611,50,101,163,1
11612,49,101,161,1
11613,48,100,160,1
11614,47,100,157,1
11615,50,102,155,1
11616,50,103,154,1
11617,53,103,155,1
11618,51,104,155,1
11619,53,103,155,1
11620,50,103,154,1
11621,51,101,153,1
11622,48,101,152,1
11623,53,103,155,1
11624,51,104,154,1
11625,53,104,154,1
11626,50,103,153,1
11627,52,103,153,1
11628,49,102,152,1
11629,51,102,152,1
11630,51,103,150,1
11631,52,102,148,1
11632,51,101,147,1
11633,47,102,147,1
11634,48,103,148,1
11635,50,105,150,1
11636,54,104,150,1
11637,59,101,146,1
11638,64,98,144,1
11639,71,94,142,1
11640,78,93,142,1
11641,87,94,144,1
11642,91,95,144,1
11643,93,96,147,1
11644,93,98,147,1
11645,92,99,148,1
11646,93,100,149,1
11647,97,101,152,1
11648,98,102,155,1
11649,101,105,158,1
11650,103,107,160,1
11651,105,109,162,1
11652,107,111,164,1
11653,107,111,164,1
11654,108,112,165,1
11655,109,113,166,1
11656,111,115,168,1
11657,113,117,170,1
11658,115,119,172,1
11659,116,120,173,1
11660,117,121,174,1
11661,116,120,173,1
11662,116,120,173,1
11663,119,122,177,1
11664,121,124,179,1
11665,122,125,180,1
11666,123,126,181,1
11667,122,125,180,1
11668,120,123,178,1
11669,118,121,176,1
11670,116,119,174,1
11671,115,118,173,1
11672,117,120,175,1
11673,120,123,178,1
11674,123,126,181,1
11675,125,128,183,1
11676,126,129,184,1
11677,126,129,184,1
11678,126,129,184,1
11679,131,133,187,1
11680,129,131,185,1
11681,129,129,183,1
11682,126,128,182,1
11683,127,129,183,1
11684,128,130,184,1
11685,129,131,185,1
11686,129,131,185,1
11687,129,131,185,1
11688,129,131,185,1
11689,130,132,186,1
11690,130,134,187,1
11691,130,134,187,1
11692,128,132,185,1
11693,127,131,184,1
11694,116,130,183,1
11695,116,147,202,1
11696,112,154,207,1
11697,118,159,214,1
11698,120,162,215,1
11699,117,159,212,1
11700,114,156,209,1
11701,111,155,208,1
11702,111,155,208,1
11703,111,155,208,1
11704,112,156,209,1
11705,114,158,211,1
11706,115,159,212,1
11707,116,160,213,1
11708,114,161,213,1
11709,115,159,212,1
11710,114,158,211,1
11711,118,158,210,1
11712,118,157,209,1
11713,117,156,208,1
11714,118,157,209,1
11715,122,161,213,1
11716,128,167,219,1
11717,134,173,225,1
11718,138,177,229,1
11719,131,170,222,1
11720,133,172,224,1
11721,135,174,226,1
11722,133,172,224,1
11723,129,168,220,1
11724,125,164,216,1
11725,124,163,215,1
11726,125,164,216,1
11727,122,162,215,1
11728,120,160,213,1
11729,119,159,211,1
11730,118,159,208,1
11731,120,161,210,1
11732,124,166,213,1
11733,129,171,216,1
11734,132,174,219,1
11735,136,178,223,1
11736,137,179,224,1
11737,137,179,226,1
11738,137,178,227,1
11739,135,176,225,1
11740,133,173,225,1
11741,130,170,223,1
11742,129,169,222,1
11743,117,157,209,1
11744,127,168,217,1
11745,135,175,224,1
11746,134,174,223,1
11747,132,172,221,1
11748,137,175,223,1
11749,140,178,226,1
11750,142,178,226,1
11751,139,175,223,1
11752,135,171,217,1
11753,135,169,215,1
11754,138,172,218,1
11755,146,179,225,1
11756,150,183,228,1
11757,152,183,228,1
11758,148,181,226,1
11759,147,183,231,1
11760,138,176,224,1
11761,133,168,218,1
11762,129,167,215,1
11763,134,169,219,1
11764,52,106,167,1
11765,53,107,168,1
11766,55,109,170,1
11767,56,110,171,1
11768,59,110,172,1
11769,59,110,172,1
11770,58,109,171,1
11771,58,109,171,1
11772,60,109,171,1
11773,62,111,173,1
11774,63,112,174,1
11775,61,110,172,1
11776,61,108,170,1
11777,59,106,168,1
11778,60,107,169,1
11779,62,109,171,1
11780,62,106,170,1
11781,58,102,166,1
11782,54,98,162,1
11783,54,98,162,1
11784,56,102,166,1
11785,58,104,168,1
11786,56,103,165,1
11787,51,100,162,1
11788,47,96,158,1
11789,48,97,159,1
11790,50,100,160,1
11791,49,101,161,1
11792,50,102,162,1
11793,49,101,161,1
11794,48,101,158,1
11795,47,101,156,1
11796,50,103,154,1
11797,51,104,154,1
11798,53,104,154,1
11799,51,104,154,1
11800,53,104,154,1
11801,50,103,153,1
11802,51,102,152,1
11803,48,101,151,1
11804,52,103,153,1
11805,50,103,153,1
11806,52,103,153,1
11807,49,102,152,1
11808,51,102,152,1
11809,48,101,151,1
11810,50,101,151,1
11811,50,101,151,1
11812,52,101,149,1
11813,51,101,147,1
11814,46,101,146,1
11815,47,102,147,1
11816,48,103,148,1
11817,53,103,149,1
11818,59,101,146,1
11819,64,98,144,1
11820,71,94,142,1
11821,80,94,143,1
11822,87,94,143,1
11823,91,95,144,1
11824,93,97,146,1
11825,95,99,148,1
11826,95,101,148,1
11827,93,100,149,1
11828,97,101,152,1
11829,98,102,155,1
11830,99,103,156,1
11831,101,105,158,1
11832,103,107,160,1
11833,105,109,162,1
11834,107,111,164,1
11835,108,112,165,1
11836,109,113,166,1
11837,110,114,167,1
11838,113,117,170,1
11839,115,119,172,1
11840,116,120,173,1
11841,116,120,173,1
11842,116,120,173,1
11843,115,119,172,1
11844,118,121,176,1
11845,119,122,177,1
11846,120,123,178,1
11847,120,123,178,1
11848,120,123,178,1
11849,118,121,176,1
11850,117,120,175,1
11851,116,119,174,1
11852,117,120,175,1
11853,118,121,176,1
11854,119,122,177,1
11855,121,124,179,1
11856,123,126,181,1
11857,124,127,182,1
11858,124,127,182,1
11859,125,128,183,1
11860,129,131,185,1
11861,128,130,184,1
11862,126,128,182,1
11863,125,127,181,1
11864,126,128,182,1
11865,128,130,184,1
11866,129,131,185,1
11867,129,131,185,1
11868,127,129,183,1
11869,128,130,184,1
11870,129,131,185,1
11871,129,131,185,1
11872,129,131,185,1
11873,128,130,184,1
11874,126,128,182,1
11875,116,128,182,1
11876,117,149,202,1
11877,112,154,207,1
11878,116,158,211,1
11879,117,159,212,1
11880,115,157,210,1
11881,113,155,208,1
11882,111,155,208,1
11883,111,155,208,1
11884,111,155,208,1
11885,112,156,209,1
11886,114,158,211,1
11887,116,160,213,1
11888,114,161,213,1
11889,114,161,213,1
11890,113,160,212,1
11891,115,159,212,1
11892,117,157,209,1
11893,117,156,208,1
11894,117,156,208,1
11895,118,157,209,1
11896,121,160,212,1
11897,125,164,216,1
11898,129,168,220,1
11899,132,171,223,1
11900,129,168,220,1
11901,131,170,222,1
11902,133,172,224,1
11903,132,171,223,1
11904,128,167,219,1
11905,125,164,216,1
11906,125,164,216,1
11907,126,165,217,1
11908,124,163,218,1
11909,123,163,216,1
11910,121,161,214,1
11911,120,161,210,1
11912,122,163,212,1
11913,125,167,214,1
11914,129,171,216,1
11915,132,175,218,1
11916,136,179,222,1
11917,136,178,223,1
11918,137,179,226,1
11919,136,178,225,1
11920,134,174,226,1
11921,132,172,224,1
11922,129,168,223,1
11923,127,167,220,1
11924,114,156,209,1
11925,123,166,217,1
11926,132,173,222,1
11927,132,173,222,1
11928,132,172,221,1
11929,135,175,224,1
11930,139,177,225,1
11931,139,177,225,1
11932,139,175,223,1
11933,137,173,221,1
11934,139,173,219,1
11935,144,178,224,1
11936,151,184,230,1
11937,154,187,233,1
11938,154,185,230,1
11939,148,181,226,1
11940,149,185,233,1
11941,141,179,227,1
11942,134,172,220,1
11943,132,170,218,1
11944,135,173,221,1
11945,54,108,171,1
11946,54,108,171,1
11947,55,109,172,1
11948,55,109,172,1
11949,56,109,172,1
11950,56,109,172,1
11951,55,108,171,1
11952,54,107,170,1
11953,57,108,171,1
11954,59,110,173,1
11955,60,111,174,1
11956,59,110,173,1
11957,59,107,171,1
11958,58,106,170,1
11959,59,107,171,1
11960,61,109,173,1
11961,64,109,176,1
11962,60,105,172,1
11963,56,101,168,1
11964,55,100,167,1
11965,57,103,167,1
11966,57,103,167,1
11967,53,101,165,1
11968,50,98,162,1
11969,50,99,161,1
11970,49,100,162,1
11971,50,101,163,1
11972,52,103,165,1
11973,52,104,164,1
11974,50,104,164,1
11975,49,103,163,1
11976,50,103,160,1
11977,49,103,156,1
11978,49,104,155,1
11979,52,105,156,1
11980,50,105,156,1
11981,51,104,155,1
11982,49,104,155,1
11983,50,103,154,1
11984,47,102,153,1
11985,50,103,154,1
11986,47,102,153,1
11987,49,102,153,1
11988,47,102,153,1
11989,48,101,152,1
11990,46,101,152,1
11991,48,101,152,1
11992,48,101,151,1
11993,50,104,151,1
11994,48,103,148,1
11995,44,101,146,1
11996,44,101,146,1
11997,46,103,148,1
11998,51,103,149,1
11999,57,102,146,1
12000,65,99,145,1
12001,71,94,142,1
12002,79,94,143,1
12003,87,94,143,1
12004,92,96,145,1
12005,95,96,146,1
12006,95,99,148,1
12007,95,101,148,1
12008,96,101,150,1
12009,97,101,152,1
12010,97,101,154,1
12011,97,101,154,1
12012,98,102,155,1
12013,100,104,157,1
12014,103,107,160,1
12015,106,110,163,1
12016,107,111,164,1
12017,108,112,165,1
12018,109,113,166,1
12019,112,116,169,1
12020,114,118,171,1
12021,115,119,172,1
12022,115,119,172,1
12023,115,119,172,1
12024,114,118,171,1
12025,117,120,175,1
12026,117,120,175,1
12027,117,120,175,1
12028,117,120,175,1
12029,117,120,175,1
12030,116,119,174,1
12031,116,119,174,1
12032,116,119,174,1
12033,118,121,176,1
12034,118,121,176,1
12035,118,121,176,1
12036,119,122,177,1
12037,119,122,177,1
12038,121,124,179,1
12039,122,125,180,1
12040,123,126,181,1
12041,126,128,182,1
12042,126,128,182,1
12043,125,127,181,1
12044,124,126,180,1
12045,125,127,181,1
12046,126,128,182,1
12047,128,130,184,1
12048,129,131,185,1
12049,125,127,181,1
12050,126,128,182,1
12051,127,129,183,1
12052,128,130,184,1
12053,127,129,183,1
12054,126,128,182,1
12055,124,126,180,1
12056,114,126,180,1
12057,118,150,203,1
12058,111,153,206,1
12059,114,156,209,1
12060,114,156,209,1
12061,113,155,208,1
12062,112,154,207,1
12063,113,155,208,1
12064,114,156,209,1
12065,111,155,208,1
12066,112,156,209,1
12067,114,158,211,1
12068,116,160,213,1
12069,117,161,214,1
12070,117,161,214,1
12071,116,160,213,1
12072,117,159,212,1
12073,120,160,212,1
12074,121,160,212,1
12075,121,160,212,1
12076,121,160,212,1
12077,123,162,214,1
12078,124,163,215,1
12079,126,165,217,1
12080,127,166,218,1
12081,127,166,218,1
12082,128,167,219,1
12083,129,168,220,1
12084,129,168,220,1
12085,126,165,217,1
12086,124,163,215,1
12087,124,163,215,1
12088,124,163,215,1
12089,127,166,221,1
12090,125,165,218,1
12091,124,164,217,1
12092,123,164,213,1
12093,124,165,214,1
12094,127,169,216,1
12095,130,172,217,1
12096,132,174,219,1
12097,131,173,218,1
12098,132,174,219,1
12099,134,176,223,1
12100,135,177,224,1
12101,134,174,226,1
12102,132,172,224,1
12103,130,169,224,1
12104,129,169,222,1
12105,114,156,209,1
12106,120,165,216,1
12107,128,171,220,1
12108,128,171,220,1
12109,130,171,220,1
12110,133,174,223,1
12111,136,176,224,1
12112,136,176,224,1
12113,137,175,223,1
12114,137,175,223,1
12115,141,177,223,1
12116,147,183,229,1
12117,155,189,235,1
12118,156,190,236,1
12119,154,187,232,1
12120,149,184,228,1
12121,151,187,235,1
12122,143,181,229,1
12123,138,176,224,1
12124,136,174,222,1
12125,137,175,223,1
12126,54,108,171,1
12127,55,109,172,1
12128,55,109,172,1
12129,55,109,172,1
12130,55,109,172,1
12131,56,109,172,1
12132,56,109,172,1
12133,56,109,172,1
12134,57,108,171,1
12135,58,109,172,1
12136,58,109,172,1
12137,58,109,172,1
12138,60,108,172,1
12139,60,108,172,1
12140,60,108,172,1
12141,61,109,173,1
12142,64,109,176,1
12143,61,106,173,1
12144,58,103,170,1
12145,57,102,169,1
12146,57,102,169,1
12147,54,102,166,1
12148,51,99,163,1
12149,47,98,161,1
12150,51,102,165,1
12151,52,103,165,1
12152,54,105,167,1
12153,53,107,168,1
12154,53,107,167,1
12155,53,107,167,1
12156,52,106,166,1
12157,51,106,163,1
12158,48,105,157,1
12159,48,105,156,1
12160,51,106,157,1
12161,49,106,157,1
12162,50,105,156,1
12163,47,104,155,1
12164,48,103,154,1
12165,46,103,154,1
12166,49,104,155,1
12167,47,104,155,1
12168,48,103,154,1
12169,46,103,154,1
12170,48,103,154,1
12171,45,102,153,1
12172,47,102,153,1
12173,47,103,152,1
12174,50,106,153,1
12175,47,104,149,1
12176,43,102,147,1
12177,43,102,147,1
12178,45,104,149,1
12179,50,105,150,1
12180,59,104,148,1
12181,65,101,147,1
12182,69,95,142,1
12183,79,94,143,1
12184,87,94,143,1
12185,92,96,145,1
12186,95,96,146,1
12187,95,99,148,1
12188,96,100,148,1
12189,96,101,150,1
12190,97,101,152,1
12191,96,100,153,1
12192,95,99,152,1
12193,96,100,153,1
12194,98,102,155,1
12195,101,105,158,1
12196,105,109,162,1
12197,107,111,164,1
12198,107,111,164,1
12199,108,112,165,1
12200,111,115,168,1
12201,113,117,170,1
12202,114,118,171,1
